frame_no_cam,person_id,x_top_left_BB,y_top_left_BB,x_bottom_right_BB,y_bottom_right_BB
4,180,604,46,621,87
5,40,852,-17,864,14
5,57,816,-5,832,27
5,62,839,-12,853,18
5,66,1744,-28,1761,5
5,67,1444,75,1466,126
5,76,1826,36,1854,79
5,84,1295,9,1308,47
5,88,1864,55,1893,102
5,100,501,81,524,126
5,101,275,65,295,112
5,106,1164,453,1233,560
5,110,1376,41,1387,84
5,111,494,114,516,163
5,118,803,-5,820,27
5,122,1061,588,1153,717
5,124,1439,5,1462,42
5,125,865,-21,877,9
5,134,1775,3,1784,13
5,142,1465,-14,1480,19
5,151,1776,-18,1789,16
5,152,830,-12,844,19
5,157,1768,-15,1789,19
5,158,364,88,385,136
5,161,497,274,513,294
5,165,650,141,678,196
5,166,1459,78,1481,127
5,168,1409,11,1423,49
5,174,665,467,717,570
5,178,723,16,740,51
5,180,605,45,621,87
6,40,851,-17,864,14
6,57,816,-5,832,27
6,62,839,-12,853,18
6,66,1744,-28,1761,5
6,67,1444,75,1466,126
6,76,1826,36,1853,79
6,84,1294,9,1308,47
6,88,1864,55,1893,102
6,100,500,81,523,126
6,101,274,65,295,111
6,106,1163,452,1233,560
6,110,1374,41,1387,84
6,111,494,114,516,162
6,118,803,-5,820,27
6,122,1061,587,1154,717
6,124,1439,5,1462,42
6,125,865,-21,877,9
6,134,1775,3,1784,13
6,142,1465,-14,1480,19
6,151,1776,-18,1789,16
6,152,830,-12,844,19
6,157,1768,-15,1789,19
6,158,365,88,386,136
6,161,498,274,515,294
6,165,649,141,677,195
6,166,1459,78,1481,127
6,168,1409,11,1423,49
6,174,665,468,722,571
6,178,724,15,741,51
6,180,606,45,621,85
7,40,851,-17,864,14
7,57,816,-5,832,27
7,62,839,-12,852,18
7,66,1744,-28,1761,5
7,67,1444,76,1466,126
7,76,1827,36,1853,78
7,84,1292,9,1308,47
7,88,1865,55,1894,102
7,100,499,81,523,126
7,101,273,65,295,111
7,106,1163,451,1233,560
7,110,1371,41,1387,84
7,111,493,114,516,162
7,118,803,-5,821,27
7,122,1061,586,1151,717
7,124,1439,5,1462,43
7,125,864,-21,876,9
7,134,1775,3,1784,12
7,142,1465,-14,1480,18
7,151,1776,-18,1789,16
7,152,829,-12,844,19
7,157,1768,-15,1788,19
7,158,365,88,388,136
7,161,499,274,516,293
7,165,649,141,676,194
7,166,1459,78,1481,126
7,168,1409,11,1423,50
7,174,665,470,725,573
7,178,724,15,741,51
7,180,607,45,622,87
8,40,851,-16,863,14
8,57,816,-5,831,27
8,62,839,-12,852,18
8,66,1744,-27,1761,5
8,67,1444,76,1466,125
8,76,1827,35,1852,78
8,84,1291,9,1308,47
8,88,1865,55,1894,102
8,100,499,81,522,127
8,101,272,65,295,111
8,106,1162,449,1234,560
8,110,1369,41,1387,84
8,111,493,113,515,162
8,118,803,-5,821,27
8,122,1061,585,1152,716
8,124,1439,6,1461,43
8,125,864,-21,876,9
8,134,1775,0,1787,12
8,142,1465,-14,1480,17
8,151,1776,-18,1789,16
8,152,829,-11,844,19
8,157,1768,-15,1788,19
8,158,366,88,389,136
8,161,500,274,517,293
8,165,648,140,675,193
8,166,1459,77,1481,125
8,168,1409,11,1423,50
8,174,666,471,727,574
8,178,725,15,741,49
8,180,608,44,622,87
9,40,851,-16,863,14
9,57,816,-6,831,27
9,62,840,-12,851,18
9,66,1745,-27,1761,5
9,67,1444,76,1466,125
9,76,1827,35,1851,78
9,84,1291,9,1308,47
9,88,1865,55,1894,102
9,100,498,81,521,127
9,101,272,65,295,111
9,106,1162,448,1234,560
9,110,1367,41,1388,84
9,111,492,113,515,162
9,118,803,-5,821,27
9,122,1062,584,1152,716
9,124,1439,6,1461,43
9,125,864,-21,875,9
9,134,1775,-1,1786,12
9,142,1465,-14,1480,18
9,151,1776,-17,1789,15
9,152,829,-11,844,19
9,157,1768,-16,1788,19
9,158,366,88,390,137
9,161,501,274,518,292
9,165,648,140,674,193
9,166,1459,77,1481,124
9,168,1409,12,1423,50
9,174,667,472,727,575
9,178,726,14,741,49
9,180,608,44,624,87
10,40,851,-16,863,14
10,57,816,-6,830,27
10,62,840,-12,850,19
10,66,1745,-28,1762,5
10,67,1444,76,1466,125
10,76,1827,34,1851,78
10,84,1290,9,1308,47
10,88,1866,56,1894,102
10,100,497,81,520,127
10,101,271,65,295,111
10,106,1162,447,1234,560
10,110,1366,41,1387,84
10,111,492,112,514,162
10,118,803,-5,821,27
10,122,1063,582,1153,716
10,124,1439,6,1461,42
10,125,863,-21,875,9
10,134,1775,-1,1786,13
10,142,1465,-15,1480,18
10,151,1778,-17,1789,9
10,152,828,-11,844,20
10,157,1768,-16,1787,19
10,158,366,89,391,137
10,161,502,273,519,291
10,165,647,140,673,193
10,166,1460,77,1481,124
10,168,1409,12,1423,50
10,174,671,473,727,576
10,178,726,14,741,51
10,180,608,44,626,86
11,40,851,-16,863,14
11,57,816,-6,830,27
11,62,840,-12,850,19
11,66,1745,-28,1762,5
11,67,1444,76,1466,124
11,76,1827,34,1851,78
11,84,1290,9,1308,46
11,88,1866,56,1895,103
11,100,497,81,519,127
11,101,270,66,296,111
11,106,1162,447,1234,560
11,110,1365,42,1387,84
11,111,491,112,514,162
11,118,803,-6,821,27
11,122,1065,581,1153,715
11,124,1439,6,1461,43
11,125,862,-21,875,9
11,134,1774,-1,1786,13
11,142,1465,-15,1479,18
11,151,1778,-17,1789,9
11,152,828,-11,844,20
11,157,1768,-16,1787,19
11,158,366,90,393,137
11,161,503,272,520,290
11,165,647,139,671,193
11,166,1460,76,1482,124
11,168,1409,12,1423,51
11,174,675,473,726,576
11,178,727,14,742,51
11,180,609,45,628,86
12,40,851,-15,862,14
12,57,816,-6,829,27
12,62,840,-12,849,19
12,66,1745,-28,1762,5
12,67,1444,76,1467,124
12,76,1827,34,1851,77
12,84,1290,9,1308,46
12,88,1867,56,1895,103
12,100,497,81,518,127
12,101,269,66,296,111
12,106,1162,446,1234,560
12,110,1364,42,1386,83
12,111,491,111,513,162
12,118,803,-6,821,27
12,122,1066,579,1153,714
12,124,1438,6,1461,43
12,125,862,-21,875,9
12,134,1774,-1,1786,13
12,142,1465,-15,1479,18
12,151,1774,-18,1789,15
12,152,828,-11,844,20
12,157,1767,-17,1787,19
12,158,367,90,394,137
12,161,504,271,521,289
12,165,647,138,669,193
12,166,1460,76,1482,124
12,168,1409,13,1423,51
12,174,680,474,727,576
12,178,727,14,742,51
12,180,609,45,630,86
13,40,850,-15,862,15
13,57,816,-6,829,27
13,62,840,-12,848,19
13,66,1745,-28,1762,5
13,67,1444,75,1467,123
13,76,1827,33,1851,77
13,84,1290,9,1308,46
13,88,1868,57,1895,104
13,100,496,81,518,127
13,101,268,66,296,111
13,106,1162,445,1234,560
13,110,1364,42,1385,83
13,111,491,111,513,162
13,118,803,-5,821,27
13,122,1068,578,1156,712
13,124,1438,6,1461,44
13,125,861,-21,875,9
13,134,1774,-2,1786,22
13,142,1465,-15,1479,18
13,151,1774,-18,1790,15
13,152,828,-10,843,20
13,157,1767,-17,1787,19
13,158,367,91,395,137
13,161,506,270,522,293
13,165,648,138,667,191
13,166,1460,75,1482,124
13,168,1409,13,1423,51
13,174,685,474,727,576
13,178,728,14,742,51
13,180,610,45,630,86
14,40,850,-15,862,15
14,57,816,-6,829,27
14,62,840,-12,847,19
14,66,1745,-28,1763,5
14,67,1444,75,1467,121
14,76,1826,33,1850,77
14,84,1290,9,1307,46
14,88,1867,58,1895,104
14,100,495,81,518,127
14,101,267,66,296,110
14,106,1163,445,1234,560
14,110,1363,42,1384,83
14,111,490,110,513,162
14,118,803,-5,821,27
14,122,1071,576,1156,710
14,124,1438,6,1461,44
14,125,861,-21,875,8
14,134,1773,-2,1786,21
14,142,1465,-16,1479,18
14,151,1774,-18,1790,14
14,152,828,-10,843,20
14,157,1767,-17,1787,19
14,158,368,91,396,138
14,161,507,269,523,292
14,165,648,137,665,191
14,166,1460,75,1482,124
14,168,1409,13,1423,51
14,174,689,474,726,576
14,178,728,14,742,51
14,180,611,45,631,85
15,40,850,-15,862,15
15,57,816,-6,828,27
15,62,840,-11,847,19
15,66,1745,-28,1763,5
15,67,1444,74,1466,122
15,76,1826,32,1850,77
15,84,1290,9,1306,47
15,88,1867,58,1895,104
15,100,495,81,518,127
15,101,266,66,296,110
15,106,1163,444,1233,560
15,110,1364,42,1382,83
15,111,490,110,513,162
15,118,803,-5,821,27
15,122,1074,574,1156,707
15,124,1438,6,1461,44
15,125,861,-21,875,9
15,134,1773,-2,1786,21
15,142,1466,-16,1479,18
15,151,1774,-18,1790,14
15,152,828,-11,843,20
15,157,1767,-17,1787,19
15,158,369,91,397,138
15,161,509,268,524,290
15,165,647,137,664,193
15,166,1460,74,1482,124
15,168,1409,13,1423,51
15,174,692,474,726,576
15,178,729,14,743,51
15,180,612,45,631,84
16,40,849,-15,862,13
16,57,816,-5,828,27
16,62,840,-11,847,19
16,66,1746,-23,1763,5
16,67,1444,74,1466,122
16,76,1826,32,1850,77
16,84,1290,9,1305,47
16,88,1867,58,1896,105
16,100,494,81,517,127
16,101,265,66,295,110
16,106,1163,444,1233,560
16,110,1364,42,1380,83
16,111,489,110,513,162
16,118,803,-5,819,27
16,122,1077,573,1156,703
16,124,1438,6,1461,44
16,125,860,-20,875,9
16,134,1773,-2,1785,20
16,142,1466,-16,1479,18
16,151,1774,-18,1790,14
16,152,828,-11,842,20
16,157,1766,-17,1787,18
16,158,370,91,397,138
16,161,511,267,524,289
16,165,647,137,664,193
16,166,1460,74,1482,124
16,168,1409,14,1423,51
16,174,694,474,731,576
16,178,729,14,744,51
16,180,613,45,631,84
17,40,849,-15,861,15
17,57,816,-5,828,27
17,62,839,-11,847,19
17,66,1746,-23,1764,5
17,67,1443,73,1466,122
17,76,1826,32,1850,77
17,84,1290,9,1304,47
17,88,1867,59,1896,105
17,100,494,81,517,127
17,101,264,66,294,109
17,106,1163,443,1232,560
17,110,1364,42,1379,83
17,111,488,110,513,162
17,118,804,-5,819,27
17,122,1080,571,1156,698
17,124,1439,6,1461,44
17,125,860,-20,875,9
17,134,1773,-3,1787,27
17,142,1466,-16,1479,18
17,151,1774,-18,1790,13
17,152,828,-11,842,20
17,157,1766,-17,1787,18
17,158,371,91,398,138
17,161,512,266,525,293
17,165,646,137,664,193
17,166,1459,74,1482,124
17,168,1409,14,1423,52
17,174,694,475,736,581
17,178,729,14,744,50
17,180,613,45,631,84
18,40,849,-15,861,15
18,57,816,-5,827,27
18,62,839,-11,847,19
18,66,1746,-27,1764,5
18,67,1443,73,1466,122
18,76,1826,32,1850,77
18,84,1290,9,1303,47
18,88,1867,59,1896,105
18,100,493,82,517,128
18,101,264,65,293,108
18,106,1163,442,1232,559
18,110,1364,41,1377,83
18,111,488,110,513,162
18,118,804,-5,820,27
18,122,1083,570,1156,695
18,124,1439,6,1461,44
18,125,860,-20,875,10
18,134,1772,-8,1789,27
18,142,1467,-16,1479,17
18,151,1774,-19,1790,13
18,152,828,-11,841,20
18,157,1766,-17,1786,18
18,158,372,91,398,138
18,161,514,265,529,293
18,165,646,137,664,193
18,166,1459,74,1483,123
18,168,1409,14,1423,52
18,174,693,476,742,585
18,178,730,14,744,50
18,180,614,44,630,84
19,40,848,-15,861,15
19,57,815,-5,827,27
19,62,838,-10,847,19
19,66,1746,-27,1764,5
19,67,1442,72,1466,122
19,76,1825,32,1849,77
19,84,1291,9,1302,47
19,88,1868,59,1895,106
19,100,493,82,517,128
19,101,263,65,292,108
19,106,1163,441,1232,558
19,110,1365,41,1374,83
19,111,487,110,513,162
19,118,804,-5,820,26
19,122,1087,569,1156,692
19,124,1439,6,1461,44
19,125,859,-20,875,10
19,134,1771,-8,1788,27
19,142,1467,-16,1479,17
19,151,1774,-19,1790,13
19,152,828,-11,841,20
19,157,1766,-17,1786,18
19,158,374,91,398,138
19,161,515,264,530,293
19,165,645,137,665,192
19,166,1459,74,1483,123
19,168,1409,14,1423,52
19,174,693,477,747,588
19,178,730,14,744,49
19,180,615,44,630,84
20,40,848,-15,860,15
20,57,815,-4,827,27
20,62,838,-10,847,20
20,66,1746,-27,1764,5
20,67,1442,72,1466,122
20,76,1825,32,1849,77
20,84,1291,8,1300,47
20,88,1868,59,1895,106
20,100,493,82,517,128
20,101,263,65,290,107
20,106,1162,440,1231,557
20,110,1364,41,1373,83
20,111,486,110,513,162
20,118,804,-5,820,26
20,122,1089,567,1156,689
20,124,1439,6,1461,44
20,125,859,-20,875,10
20,134,1770,-8,1788,26
20,142,1467,-16,1479,17
20,151,1773,-19,1790,14
20,152,828,-11,840,20
20,157,1766,-17,1786,17
20,158,375,90,398,139
20,161,516,264,535,295
20,165,644,137,665,192
20,166,1458,74,1483,123
20,168,1409,14,1423,52
20,174,693,479,753,591
20,178,731,14,745,49
20,180,616,44,630,84
21,40,848,-15,860,15
21,57,815,-4,827,27
21,62,838,-10,846,20
21,66,1745,-26,1765,4
21,67,1442,72,1466,122
21,76,1825,33,1848,76
21,84,1291,8,1299,47
21,88,1869,58,1895,106
21,100,492,82,517,128
21,101,263,65,288,108
21,106,1162,439,1231,556
21,110,1362,41,1372,84
21,111,486,110,513,161
21,118,804,-6,820,26
21,122,1091,566,1156,687
21,124,1440,6,1461,44
21,125,859,-19,875,10
21,134,1770,-8,1788,26
21,142,1467,-16,1479,17
21,151,1773,-19,1790,14
21,152,828,-11,840,20
21,157,1766,-17,1786,17
21,158,376,90,398,139
21,161,510,264,537,295
21,165,643,137,665,192
21,166,1458,74,1483,123
21,168,1409,14,1423,52
21,174,693,480,757,593
21,178,731,14,745,49
21,180,617,43,630,84
22,40,847,-15,860,15
22,57,814,-4,827,28
22,62,837,-10,846,20
22,66,1745,-26,1765,4
22,67,1441,72,1466,122
22,76,1825,33,1848,76
22,84,1290,8,1299,47
22,88,1870,58,1895,106
22,100,492,83,517,128
22,101,262,65,280,93
22,106,1162,438,1230,554
22,110,1361,41,1372,83
22,111,486,111,513,161
22,118,805,-6,820,26
22,122,1093,565,1156,687
22,124,1440,6,1461,44
22,125,859,-19,875,10
22,134,1770,-8,1788,26
22,142,1467,-16,1479,17
22,151,1772,-19,1790,14
22,152,828,-11,840,20
22,157,1766,-17,1786,17
22,158,377,90,398,139
22,161,511,264,539,296
22,165,642,137,665,191
22,166,1458,74,1484,122
22,168,1409,13,1423,52
22,174,694,482,761,594
22,178,732,13,746,49
22,180,617,43,631,84
23,40,847,-16,860,15
23,57,814,-4,827,28
23,62,837,-10,845,20
23,66,1745,-26,1765,4
23,67,1441,72,1466,122
23,76,1825,33,1848,75
23,84,1289,8,1299,47
23,88,1870,58,1895,106
23,100,492,83,517,129
23,101,262,65,279,93
23,106,1162,437,1230,550
23,110,1360,41,1371,83
23,111,485,110,513,160
23,118,805,-6,820,25
23,122,1095,564,1157,687
23,124,1440,6,1461,44
23,125,859,-19,874,10
23,134,1770,-8,1787,26
23,142,1468,-15,1479,17
23,151,1772,-19,1790,15
23,152,828,-11,840,20
23,157,1766,-17,1786,16
23,158,377,90,399,139
23,161,512,264,540,296
23,165,641,137,664,190
23,166,1458,74,1484,121
23,168,1409,13,1423,52
23,174,696,484,765,595
23,178,732,13,746,49
23,180,617,42,632,84
24,40,847,-16,860,15
24,57,814,-4,827,28
24,62,837,-10,845,20
24,66,1745,-26,1764,4
24,67,1440,72,1466,122
24,76,1825,33,1847,74
24,84,1288,8,1298,47
24,88,1870,58,1896,106
24,100,492,83,517,129
24,101,262,65,280,93
24,106,1162,436,1230,547
24,110,1357,41,1371,83
24,111,485,110,513,160
24,118,805,-6,820,25
24,122,1097,564,1157,687
24,124,1440,7,1461,44
24,125,859,-19,874,10
24,134,1770,-8,1787,26
24,142,1468,-16,1479,16
24,151,1775,-19,1789,15
24,152,828,-10,839,21
24,157,1766,-17,1786,15
24,158,378,90,400,139
24,161,514,264,542,296
24,165,640,137,664,189
24,166,1457,74,1483,120
24,168,1409,13,1423,52
24,174,698,485,768,596
24,178,732,13,747,49
24,180,618,42,633,84
25,40,847,-16,859,15
25,57,813,-4,827,28
25,62,837,-10,844,20
25,66,1745,-26,1764,4
25,67,1440,72,1466,122
25,76,1825,32,1847,73
25,84,1287,8,1298,47
25,88,1870,58,1896,106
25,100,492,83,517,130
25,101,262,65,279,93
25,106,1162,435,1231,543
25,110,1355,41,1371,83
25,111,486,110,513,159
25,118,806,-6,818,24
25,122,1099,563,1158,687
25,124,1441,7,1462,44
25,125,859,-19,874,10
25,134,1770,-8,1786,26
25,142,1468,-16,1479,16
25,151,1771,-19,1789,15
25,152,828,-10,839,21
25,157,1766,-17,1786,15
25,158,379,90,401,139
25,161,516,264,543,296
25,165,639,136,663,189
25,166,1457,74,1483,120
25,168,1408,13,1423,52
25,174,700,486,770,597
25,178,732,13,747,49
25,180,618,42,634,84
26,40,846,-15,859,15
26,57,813,-4,827,28
26,62,835,-11,844,20
26,66,1745,-26,1764,4
26,67,1440,72,1466,121
26,76,1824,32,1847,73
26,84,1286,8,1298,47
26,88,1869,59,1896,106
26,100,492,84,517,130
26,101,261,65,279,93
26,106,1162,434,1231,540
26,110,1352,41,1371,84
26,111,486,110,512,158
26,118,806,-6,818,24
26,122,1099,563,1159,687
26,124,1441,7,1462,45
26,125,859,-19,873,10
26,134,1770,-8,1786,26
26,142,1468,-16,1479,16
26,151,1776,-19,1789,4
26,152,828,-10,839,21
26,157,1766,-18,1786,14
26,158,379,91,403,139
26,161,518,263,544,295
26,165,638,136,661,189
26,166,1457,73,1483,120
26,168,1408,14,1423,52
26,174,703,487,772,596
26,178,732,12,748,49
26,180,618,42,635,84
27,40,846,-15,859,15
27,57,812,-4,827,28
27,62,834,-11,844,20
27,66,1746,-26,1764,4
27,67,1439,72,1466,121
27,76,1824,32,1847,72
27,84,1285,8,1297,47
27,88,1869,59,1897,106
27,100,492,84,516,130
27,101,260,65,279,93
27,106,1162,433,1232,539
27,110,1351,41,1371,84
27,111,486,109,511,157
27,118,806,-6,819,26
27,122,1099,563,1160,687
27,124,1441,7,1462,45
27,125,859,-19,873,10
27,134,1769,-9,1785,26
27,142,1468,-16,1479,16
27,151,1776,-19,1789,4
27,152,827,-9,839,21
27,157,1766,-18,1786,17
27,158,380,91,405,139
27,161,519,263,545,295
27,165,637,135,659,189
27,166,1457,72,1482,120
27,168,1408,14,1424,53
27,174,706,488,773,596
27,178,732,12,748,49
27,180,617,42,636,84
27,188,6,63,15,72
28,40,845,-15,859,15
28,57,812,-4,826,28
28,62,833,-11,844,20
28,66,1746,-26,1763,4
28,67,1439,72,1466,120
28,76,1824,31,1847,72
28,84,1284,8,1297,47
28,88,1869,59,1897,107
28,100,492,84,516,130
28,101,260,65,279,93
28,106,1162,432,1232,539
28,110,1350,42,1370,84
28,111,486,109,510,157
28,118,807,-7,819,26
28,122,1099,562,1162,687
28,124,1441,7,1462,45
28,125,860,-20,872,10
28,134,1769,-9,1787,26
28,142,1468,-16,1480,16
28,151,1779,-19,1791,4
28,152,827,-9,839,21
28,157,1766,-18,1786,17
28,158,380,92,408,139
28,161,521,262,546,294
28,165,636,135,658,189
28,166,1457,72,1482,120
28,168,1408,15,1424,53
28,174,711,489,774,596
28,178,732,12,749,49
28,180,618,42,637,83
28,188,5,63,15,72
29,40,845,-15,859,16
29,57,811,-4,826,28
29,62,835,-11,845,20
29,66,1746,-26,1763,4
29,67,1439,72,1465,120
29,76,1823,31,1847,72
29,84,1283,8,1297,47
29,88,1869,60,1898,108
29,100,492,84,516,130
29,101,259,65,279,92
29,106,1163,430,1232,539
29,110,1349,42,1370,83
29,111,486,108,509,157
29,118,807,-7,822,26
29,122,1098,562,1163,687
29,124,1441,7,1462,45
29,125,860,-20,872,10
29,134,1769,-9,1787,26
29,142,1468,-17,1480,16
29,151,1779,-19,1791,4
29,152,827,-9,838,22
29,157,1766,-18,1786,17
29,158,381,92,410,139
29,161,523,261,547,297
29,165,634,134,656,189
29,166,1458,71,1481,120
29,168,1408,15,1424,53
29,174,716,490,773,596
29,178,732,12,749,49
29,180,618,42,638,83
29,188,4,63,14,72
30,40,845,-15,858,16
30,57,811,-4,825,28
30,62,834,-10,845,20
30,66,1746,-26,1763,5
30,67,1439,72,1465,119
30,76,1823,30,1847,72
30,84,1282,8,1296,46
30,88,1869,61,1898,108
30,100,492,84,516,130
30,101,258,65,279,92
30,106,1163,429,1233,539
30,110,1349,42,1369,83
30,111,486,108,508,159
30,118,807,-7,818,26
30,122,1098,561,1165,686
30,124,1441,7,1462,44
30,125,860,-20,871,10
30,134,1769,-10,1787,26
30,142,1468,-17,1480,16
30,151,1779,-19,1790,4
30,152,827,-9,838,20
30,157,1765,-18,1786,17
30,158,382,93,411,139
30,161,524,261,548,296
30,165,633,133,654,189
30,166,1458,71,1481,120
30,168,1408,15,1424,53
30,174,722,490,772,596
30,178,732,12,750,49
30,180,618,43,639,83
30,188,3,59,14,72
31,40,844,-15,858,10
31,57,810,-4,825,28
31,62,833,-10,845,20
31,66,1746,-26,1763,4
31,67,1439,71,1465,118
31,76,1822,30,1847,74
31,84,1281,9,1296,46
31,88,1869,61,1899,108
31,100,492,84,516,130
31,101,258,65,278,92
31,106,1164,429,1233,539
31,110,1349,42,1368,83
31,111,486,107,507,159
31,118,807,-7,823,26
31,122,1098,561,1168,685
31,124,1441,7,1462,46
31,125,860,-20,871,10
31,134,1768,-10,1786,26
31,142,1467,-17,1481,16
31,151,1779,-19,1790,4
31,152,826,-9,838,22
31,157,1765,-18,1786,17
31,158,383,93,411,140
31,161,525,260,552,301
31,165,632,133,652,189
31,166,1458,70,1480,120
31,168,1408,16,1424,54
31,174,727,490,771,596
31,178,732,12,750,48
31,180,618,43,640,82
31,188,2,59,14,72
32,40,844,-14,858,16
32,57,810,-4,824,28
32,62,833,-10,845,21
32,66,1746,-26,1763,4
32,67,1439,71,1465,118
32,76,1822,29,1847,74
32,84,1281,9,1295,46
32,88,1869,61,1899,109
32,100,492,84,516,130
32,101,257,65,278,92
32,106,1165,428,1232,539
32,110,1349,42,1366,83
32,111,486,107,506,159
32,118,807,-7,820,25
32,122,1098,560,1170,684
32,124,1441,7,1462,46
32,125,860,-20,871,10
32,134,1768,-10,1786,26
32,142,1467,-17,1481,16
32,151,1779,-19,1790,4
32,152,826,-9,837,22
32,157,1764,-18,1786,16
32,158,385,93,411,140
32,161,525,258,550,298
32,165,631,133,653,189
32,166,1459,70,1480,119
32,168,1408,16,1424,54
32,174,731,491,771,596
32,178,732,12,751,48
32,180,619,43,641,81
32,188,2,59,13,72
33,40,843,-14,858,16
33,57,810,-4,823,28
33,62,832,-10,846,21
33,66,1746,-26,1763,4
33,67,1439,70,1465,118
33,76,1822,29,1846,74
33,84,1280,9,1295,46
33,88,1869,62,1899,109
33,100,492,84,515,130
33,101,256,65,277,92
33,106,1166,427,1232,539
33,110,1349,42,1365,83
33,111,486,107,506,159
33,118,808,-7,821,25
33,122,1098,559,1173,682
33,124,1441,7,1462,46
33,125,860,-19,871,10
33,134,1768,-10,1786,26
33,142,1467,-17,1481,16
33,151,1779,-19,1790,4
33,152,826,-9,837,22
33,157,1764,-18,1785,16
33,158,386,93,411,140
33,161,526,257,551,300
33,165,629,133,654,189
33,166,1459,70,1480,119
33,168,1409,16,1424,54
33,174,733,493,773,595
33,178,732,12,751,48
33,180,619,43,641,81
33,188,1,59,12,72
34,40,843,-14,858,16
34,57,809,-4,823,28
34,62,832,-9,846,21
34,66,1746,-25,1763,4
34,67,1439,70,1465,118
34,76,1822,29,1846,74
34,84,1280,9,1295,46
34,88,1869,62,1900,110
34,100,492,84,515,130
34,101,256,65,277,92
34,106,1166,427,1232,539
34,110,1349,42,1363,83
34,111,486,107,506,159
34,118,808,-7,820,25
34,122,1099,558,1175,678
34,124,1440,7,1462,46
34,125,859,-19,870,10
